Date,Mean Temp,max Temp,Min temp,Heating Degree Days,Dew Point,Average Humidity,Max Humidity,Minimum Humidity,Sea Level Pressure,Average Wind Speed,Maximum Wind Speed,Visibility,Event,Precipitation
01-01-2005,62,71,52,4,46,57,82,22,29.98,3,6,1.9,,0
02-01-2005,58,73,43,7,43,57,93,18,30.01,2,5,2.2,,0
03-01-2005,58,69,46,8,45,56,82,27,30.06,2,6,1.6,,0
,,,,,,,,,,,,,,
04-01-2005,56,70,43,8,45,62,93,31,30.15,7,107,1.7,,0
,,,,,,,,,,,,,,
05-01-2005,56,70,42,9,45,65,100,28,30.09,1,4,1.7,,0
,,,,,,,,,,,,,,
06-01-2005,58,70,46,7,45,65,94,33,30.09,2,6,1.9,,0
,,,,,,,,,,,,,,
07-01-2005,56,70,42,9,42,61,93,19,30.11,1,5,2.1,,0
,,,,,,,,,,,,,,
08-01-2005,57,72,42,8,42,58,93,21,30.06,2,4,1.8,,0
,,,,,,,,,,,,,,
09-01-2005,60,76,45,4,47,63,93,28,30,1,5,2.3,,0
,,,,,,,,,,,,,,
10-01-2005,59,71,47,6,46,62,94,24,29.87,2,9,2.4,,0
,,,,,,,,,,,,,,
11-01-2005,58,69,46,8,42,56,87,24,30,3,5,2.2,,0
,,,,,,,,,,,,,,
12-01-2005,56,70,42,9,44,63,93,27,30.09,1,5,1.8,,0
,,,,,,,,,,,,,,
13-01-2005,58,72,43,8,46,67,93,30,30.05,1,5,2,,0
,,,,,,,,,,,,,,
14-01-2005,60,75,46,4,45,58,94,22,30,2,4,2.2,,0
,,,,,,,,,,,,,,
15-01-2005,58,68,49,6,46,59,82,30,29.99,3,9,2,,0
,,,,,,,,,,,,,,
16-01-2005,60,68,53,4,45,53,77,35,29.95,5,9,1.9,Rain,0
,,,,,,,,,,,,,,
17-01-2005,60,69,50,6,48,62,88,43,29.91,3,7,2.1,,0
,,,,,,,,,,,,,,
18-01-2005,56,67,45,9,43,59,94,22,30.03,1,5,2.2,Fog,0
,,,,,,,,,,,,,,
19-01-2005,54,68,40,11,40,58,93,21,30.12,1,5,2.6,,0
,,,,,,,,,,,,,,
20-01-2005,53,68,38,12,40,58,93,21,30.13,1,4,2.2,,0
,,,,,,,,,,,,,,
21-01-2005,55,63,47,10,45,66,94,37,30.13,2,6,1.4,Rain,0.02
,,,,,,,,,,,,,,
22-01-2005,57,68,46,8,49,71,88,43,30.03,3,6,1.8,,0
,,,,,,,,,,,,,,
23-01-2005,53,63,43,12,45,72,100,37,30.02,4,6,1.4,Fog,0
,,,,,,,,,,,,,,
24-01-2005,53,66,40,12,44,65,93,31,30.08,1,5,1.4,,0
,,,,,,,,,,,,,,
25-01-2005,55,60,50,10,50,84,94,67,30.07,1,4,1.1,Rain,0.01
,,,,,,,,,,,,,,
26-01-2005,56,69,43,9,49,73,94,46,29.97,1,4,1.3,Fog,0
,,,,,,,,,,,,,,
27-01-2005,60,73,48,4,50,73,98,37,29.88,3,8,1.7,,0
,,,,,,,,,,,,,,
28-01-2005,60,70,50,5,43,54,88,18,29.93,4,8,2.7,,0
,,,,,,,,,,,,,,
29-01-2005,58,69,48,6,45,57,82,25,29.98,4,9,2.9,,0
,,,,,,,,,,,,,,
30-01-2005,59,68,50,6,46,59,79,34,30.01,5,13,2.4,,0
,,,,,,,,,,,,,,
31-01-2005,60,69,51,5,49,64,94,37,30.06,5,13,2.2,,0
,,,,,,,,,,,,,,
01-02-2005,55,69,41,10,41,52,87,17,30.12,4,9,2.8,,0
,,,,,,,,,,,,,,
02-02-2005,54,69,39,11,40,61,100,23,30.08,2,12,1.8,,0
,,,,,,,,,,,,,,
03-02-2005,59,73,45,6,42,49,76,24,30.01,3,8,2.3,,0
,,,,,,,,,,,,,,
04-02-2005,65,75,55,N/A,46,52,69,25,29.97,6,12,2.3,,0
,,,,,,,,,,,,,,
05-02-2005,64,75,54,N/A,51,59,82,33,29.96,5,13,1.8,Rain,0
,,,,,,,,,,,,,,
06-02-2005,64,75,54,N/A,56,71,100,42,29.92,9,21,1.7,,0
,,,,,,,,,,,,,,
